Type	Code	Description	Guide
Corrective	258-1	รหัสโรคอยู่ในเงื่อนไขการเบิกกรณีส่งเสริมป้องกันโรค (PP)	ตรวจสอบรหัสโรค (ICD10) บันทึกให้ครบถ้วน ถูกต้อง หากไม่มีโรคอื่นๆ ให้บันทึกเป็น กรณีส่งเสริมป้องกันโรค (PP) แก้ไขแล้วส่งเข้ามาใหม่อีกครั้ง
Corrective	258-2	บันทึกเบิกเป็นกรณี AE รหัสโรคไม่เข้าเกณฑ์ AE	ตรวจสอบรหัสโรค (ICD10) บันทึกให้ครบถ้วน ถูกต้อง กรณีไม่ใช่ AE บันทึกเบิกตาม เงื่อนไข OP Anywhere แก้ไขแล้วส่งเข้ามาใหม่อีกครั้ง
Corrective	397	ไม่ใช่หน่วยบริการในระบบหลักประกันสุขภาพแห่งชาติที่สามารถ ให้บริการกรณีตรวจคัดกรองไวรัสตับอักเสบซีและตรวจยืนยันโรค ไวรัสตับอักเสบซี ได้	กรณีที่หน่วยบริการให้การรักษาจริงให้ส่งเอกสารอุทธรณ์ มาที่ สปสช. เพื่อยืนยัน
Corrective	398-1	บันทึกเบิกกรณีการตรวจวินิจฉัยโรคหยุดหายใจขณะหลับจากการ อุดกั้น และการรักษาด้วยเครื่องอัดอากาศแรงดันบวก แต่ไม่ใช่ หน่วยที่มีศักยภาพ หรืออายุน้อยกว่า 50 ปี	ตรวจสอบต้องเป็นหน่วยที่มีศักยภาพ H70 : บริการตรวจวินิจฉัยโรคหยุดหายใจขณะ หลับจากการอุดกั้น และการรักษาด้วยเครื่องอัดอากาศแรงดันบวก หรือตรวจสอบอายุ ต้องมีอายุ 50 ปี ขึ้นไปจึงจะสามารถเบิกได้
Corrective	398-2	บันทึกเบิกกรณีการตรวจวินิจฉัยโรคหยุดหายใจขณะหลับจากการ อุดกั้น และการรักษาด้วยเครื่องอัดอากาศแรงดันบวก รหัสเบิก SLT01,SLT02,SLT03,PAPT01 ไม่ใช่กลุ่มโรคที่กำหนด	ตรวจสอบรหัสโรค (PDX และ SDX) และรหัสหัตถการ แก้ไขให้ถูกต้องและส่งเบิกใหม่ อีกครั้ง
Corrective	398-3	เบิกรายการตรวจวินิจฉัยก่อนการใช้อุปกรณ์การรักษาโรคหยุด หายใจขณะหลับ ซ้ำซ้อน	ตรวจสอบการบันทึกเบิกรหัส SLT01,SLT02,SLT03,PAPT01 และรหัส 51120 ไม่ สามารถเบิกมาใน VISIT เดียวกันได้ แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	398-4	บันทึกแบบปรับแรงดันอากาศบวก (Positive Airway Pressure Titration) รหัส PAPT01 ไม่เป็นไปตามเงื่อนไขที่กำหนด	ตรวจสอบการบันทึกเบิกรหัส PAPT01 1. ต้องมีการตรวจวินิจฉัยก่อนการใช้อุปกรณ์การรักษาโรคหยุดหายใจขณะหลับ เบิกรหัส SLT01 หรือ SLT02 หรือ SLT03 มาก่อน 2. ต้องเบิกคู่กับอุปกรณ์รหัส 3012 เครื่องอัดอากาศแรงดันบวก เสมอ
Corrective	398-5	บันทึกอุปกรณ์เครื่องอัดอากาศแรงดันบวก (Positive Airway Pressure ; PAP) รหัส 3012 ไม่เป็นไปตามเงื่อนไขที่กำหนด	ตรวจสอบการบันทึกเบิกรหัสอุปกรณ์ 3012 ต้องมีการตรวจวินิจฉัยก่อนการใช้อุปกรณ์ การรักษาโรคหยุดหายใจขณะหลับ เบิกรหัส SLT01 หรือ SLT02 หรือ SLT03 มาก่อน
Corrective	398-6	บันทึกแบบปรับแรงดันอากาศบวก (Positive Airway Pressure Titration) รหัส PAPT01 หรืออุปกรณ์เครื่องอัดอากาศแรงดันบวก (Positive Airway Pressure ; PAP) รหัส 3012ไม่เป็นไปตาม เงื่อนไขที่กำหนด	ตรวจสอบ ดังนี้ 1. แบบปรับแรงดันอากาศบวก PAPT01 ต้องเบิกคู่กับอุปกรณ์รหัส 3012 เครื่องอัด อากาศแรงดันบวก เสมอ 2. อุปกรณ์ 3012 ต้องเบิกคู่กับแบบปรับแรงดันอากาศบวก (Positive Airway Pressure Titration) รหัส PAPT01 เสมอ
Corrective	398-7	บันทึกเบิกอุปกรณ์ 3013 หรือ 3019 แต่ไม่พบการเบิกอุปกรณ์รหัส 3012 มาก่อน	ตรวจสอบการบันทึกเบิกอุปกรณ์ 3013 หรือ 3019 ต้องเบิกอุปกรณ์รหัส 3012 มาก่อน แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	399-1	เบิกรายการหมวด 14 บริการทางกายภาพบำบัดและเวชกรรมฟื้นฟู ร่วมกับค่าบริการทางการแพทย์	ค่าบริการหมวด 14 บริการทางกายภาพบำบัดและเวชกรรมฟื้นฟู รวมค่าบริการทางการ แพทย์แล้ว ไม่สามารถเบิกเพิ่มเติมได้ ลบค่าบริการทางการแพทย์ออกแล้วส่งเข้ามาใหม่ อีกครั้ง
Corrective	399-2	การล้างไตทางช่องท้องบันทึกเบิกในโปรแกรม DMISHD	ตรวจสอบรหัสโรค หรือรหัสหัตถการ กรณีผู้ป่วยไตวายเรื้อรังที่ล้างไตทางช่องท้องให้ บันทึกเบิกในโปรแกรม DMISHD หรือหากมีการรักษาภาวะอื่นๆ บันทึกรหัสโรคหรือรหัส หัตถการมาให้ครบถ้วนแล้วส่งข้อมูลเข้ามาอีกครั้ง
Corrective	400	ไม่ใช่หน่วยบริการกรณีค่าจัดเตรียมกระจกตาชั้นใน สำหรับบริการ DSAEK	ตรวจสอบการบันทึกเบิก กรณีเลือกรหัสเบิก DMICNT2 ต้องเป็นหน่วยที่ผ่านการขึ้น ทะเบียนศักยภาพ แล้วเท่านั้น
Corrective	694-1	เบิกค่าบริการการให้ยาฉีดตามแผนการรักษาของผู้ประกอบวิชาชีพ เวชกรรมจำนวนมาก	1. ตรวจสอบการให้บริการรายการให้ถูกต้องตามแผนการรักษาแพทย์ 2. หากตรงตามแผนการรักษาของแพทย์ให้ส่งเวชระเบียนและหลักฐานการให้บริการจริง เพื่อให้ สปสช. พิจารณา
Corrective	694-2	ตรวจสอบรหัสรายการอุปกรณ์ 023803 ถุงเก็บน้ำปัสสาวะซึ่งต่อ จากสายสวนระยะยาว ชนิดใบใหญ่ และรหัสหัตถการให้สอดคล้อง กัน	1 ไม่สามารถเบิกรายการสวนปัสสาวะทิ้งร่วมกับถุงเก็บน้ำปัสสาวะซึ่งต่อจากสายสวน ระยะยาว ชนิดใบใหญ่ 2. ขอให้แก้ไขโดยยกเลิกรายการ 023803 ถุงเก็บน้ำปัสสาวะซึ่งต่อจากสายสวนระยะยาว ชนิดใบใหญ่
Corrective	694-3	ตรวจสอบรหัสรายการอุปกรณ์ 020700 สายให้อาหารผ่านรูจมูกสู่ กระเพาะอาหาร (Nasogastric tube) ระยะสั้น และรหัสหัตถการ ให้สอดคล้องกัน	1. ไม่สามารถเบิกสายให้อาหารผ่านรูจมูกสู่กระเพาะอาหาร (Nasogastric tube) ระยะ สั้น หากไม่มีการทำหัตถการใส่สายยางกระเพาะอาหาร ขอให้ทบทวนการบันทึกรหัสการ ให้บริการ 2. หากมีเหตุผลการให้บริการให้อุทธรณ์มาเป็นรายกรณี
Corrective	694-4	ตรวจสอบรหัสรายการ023020 สายสวนปัสสาวะ ชนิดใช้ระยะยาว ชนิด 2 หาง และรหัสหัตถการให้สอดคล้องกัน	1 ไม่สามารถเบิกสายสวนปัสสาวะ ชนิดใช้ระยะยาว ชนิด 2 หาง หากไม่มีหัตถการการ สวนปัสสาวะ ขอให้ทบทวนการบันทึกรหัสการให้บริการ 2. หากมีเหตุผลการให้บริการให้อุทธรณ์มาเป็นรายกรณี
Corrective	697	เบิกค่าบริการทดสอบการตั้งครรภ์ และค่าบริการชุดทดสอบการ ตั้งครรภ์ด้วยตนเอง ซ้ำใน VISIT เดียวกัน	ตรวจสอบการบันทึกเบิกค่าบริการทดสอบการตั้งครรภ์(30014) และค่าบริการชุด ทดสอบการตั้งครรภ์ด้วยตนเอง (30017) ไม่สามารถเบิกร่วมกันในวันที่รับบริการเดียวกัน ได้
Corrective	698	ไม่ใช่หน่วยบริการที่สามารถเบิกกรณีตรวจคัดกรองมะเร็งปาก มดลูก ด้วยวิธี PAP SMEAR ได้	ตรวจสอบหน่วยบริการปฐมภูมิ ศักยภาพหน่วยบริการไม่สามารถตรวจคัดกรองมะเร็ง ปากมดลูกด้วยวิธี PAP SMEAR ได้
Corrective	699	หน่วยบริการที่มีศักยภาพเมทาโดนระยะยาว(H19) เบิกยา METHADONE แต่ไม่บันทึกเบิกหน้า F4	ให้เบิกเป็นกรณี HC โดยบันทึกในหน้า F4 การให้สารเมทาโดนในผู้ติดสารเสพติดกลุ่มฝิ่น โดยบันทึกเบิกเป็นรายเดือน ไม่เกินจำนวนวันของเดือนนั้นๆ
Corrective	728	บันทึกเบิกค่าบริการยาเม็ดคุมกำเนิด รวมค่าบริการให้คำปรึกษา ต่อครั้งมากกว่าจำนวนที่กำหนด	ตรวจสอบการบันทึกเบิกค่าบริการยาเม็ดคุมกำเนิด รวมค่าบริการให้คำปรึกษา เบิกได้ไม่ เกิน 3 แผงต่อครั้ง แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	729	บันทึกเบิกค่าบริการห่วงอนามัย ยาฝังคุมกำเนิด ยาเม็ดคุมกำเนิด ยาฉีดคุมกำเนิดซ้ำซ้อนใน visit เดียวกัน	ตรวจสอบค่าบริการห่วงอนามัย ยาฝังคุมกำเนิด ยาเม็ดคุมกำเนิด ยาฉีดคุมกำเนิด (FP001, FP002, FP003) ไม่สามารถเบิกซ้ำซ้อนร่วมกันได้
Corrective	730	กรณีหน่วยบริการมาตรา 7 เหตุสมควร บันทึกข้อมูลเบิกจ่ายไม่ ถูกต้อง	ตรวจสอบกรณีที่บันทึกหน่วยบริการรับส่งต่อเป็น 1330 จะสามารถเบิกได้เฉพาะสิทธ UC เท่านั้นสิทธิว่างไม่สามารถเบิกกรณีนี้ได้ เขต กทม. ไม่ต้องเลือก OPTYPE และต้องไม่ใช่ กรณี WLAKIN แก้ไขให้ถูกต้องและส่งเบิกชดเชยใหม่อีกครั้ง
Corrective	731	กรณีหน่วยบริการมาตรา 7 เหตุสมควร ไม่พบข้อมูลการรับส่งต่อ ในระบบของ Call center หรือวันที่รับบริการก่อนวันที่ส่งต่อ	ตรวจสอบกรณีที่บันทึกหน่วยบริการรับส่งต่อเป็น 1330 จะต้องมีข้อมูลการส่งต่อใน ระบบของ Call center หรือวันที่รับบริการในระบบ e-Claim ก่อนวันที่ส่งต่อ แก้ไขให้ ถูกต้องและส่งเบิกชดเชยใหม่อีกครั้ง
Corrective	732	การรับส่งต่อกรณีมาตรา 7 เหตุสมควรไม่ระบุหน่วยที่ส่งต่อ	ตรวจสอบกรณีหน่วยบริการมาตรา 7 เหตุสมควร ต้องบันทึกหน่วยบริการรับส่งต่อ แก้ไข ให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	733	หน่วยบริการ CT/MRI ไม่ระบุหน่วยบริการที่ส่งต่อหรือไม่ระบุเลขที่ ใบส่งต่อของหน่วยบริการที่ส่งต่อมา	บันทึกหน่วยบริการที่ส่งต่อ และ บันทึกเลขที่ใบส่งต่อของหน่วยบริการที่ส่งต่อมาให้ ถูกต้องครบถ้วน แล้วส่งเข้ามาใหม่อีกครั้ง
Corrective	734	รหัสโรคไม่สอดคล้องกับการเบิกรายการยา STATIN	ตรวจสอบรหัสโรค ให้สอดคล้องกับเงื่อนไขการเบิก
Corrective	735	ใช้ยากลุ่ม STATIN_EVO หรือ STATIN_ALIRO หรือ STATIN_INC พร้อมกันใน Visit เดียวกัน	ตรวจสอบรายการเบิกยากลุ่ม Statin ให้สอดคล้องกับเงื่อนไขการเบิก
Corrective	736	บันทึกเบิกบริการคัดกรองมะเร็งเต้านมด้วยเครื่องแมมโมแกรม และอัลตราซาวด์ แต่ไม่พบการลงทะเบียน one page หรือมีการ ลงทะเบียน แต่ไม่บันทึกผลการตรวจคัดกรอง BIRADS	ตรวจสอบการลงทะเบียนบริการตรวจการคัดกรองมะเร็งเต้านมด้วยแมมโมแกรมและอัล ตราซาวด์ในผู้ที่มีความเสี่ยงสูง ที่เว็บ e-Claim https://eclaim.nhso.go.th เมนู คัด กรองมะเร็งเต้านม Breast Cancer ต้องมีการลงทะเบียน และบันทึกผลการคัดกรอง
Corrective	737	อายุตั้งแต่ 20 ปีบริบูรณ์ เบิกเครื่องช่วยฟัง 2 ข้างพร้อม หรืออายุ ตั้งแต่ 20 ปีบริบูรณ์ ใส่เครื่องช่วยฟังข้างแรกและข้างที่สอง ห่าง กันน้อยกว่า 3 เดือน	ตรวจสอบกรณีอายุตั้งแต่ 20 ปีเบิกเครื่องช่วยฟังอุปกรณ์ 2505 ,2506 , 2507 , 2508 , 2509 ไม่สามารถเบิก 2 ข้างพร้อมกันได้ หรือใส่เครื่องช่วยฟังข้างแรกและข้างที่สอง ห่าง กันน้อยกว่า 3 เดือน แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	738	เบิกเครื่องช่วยฟังพร้อมกับบริการฟื้นฟูการได้ยิน	ตรวจสอบไม่สามารถเบิกเครื่องช่วยฟังอุปกรณ์ 2505 ,2506 , 2507 , 2508 , 2509 พร้อมกับบริการฟื้นฟูการได้ยิน (H9549) ได้ แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	739	อายุการใช้งานอุปกรณ์เครื่องช่วยฟังสำหรับคนพิการไม่เป็นไป ตามที่กำหนด	ตรวจสอบเครื่องช่วยฟังอุปกรณ์ 2505 ,2506 , 2507 , 2508 , 2509 อายุการใช้งานไม่ น้อยกว่า 3 ปี (เบิกไม่เกิน2 ชิ้น โดยนับ 3 ปี จากชิ้นแรก)
Corrective	761-1	บันทึกเบิกชดเชยกรณี HOMEWARD ไม่ถูกต้องตามเงื่อนไขที่ กำหนด	1. ตรวจสอบประเภทการจำหน่าย และแก้ไขให้ถูกต้อง แล้วส่งเข้ามาใหม่ 2. ตรวจสอบจำนวนวันที่เข้ารับการดูแลแบบผู้ป่วยในที่บ้านให้ถูกต้อง
Corrective	766	ข้อมูลบริการประเภทผู้ป่วยนอก รับบริการตั้งแต่ 1 มีนาคม 2566 บันทึกรายการ Fee schedule ไม่ถูกต้องตามรายการที่ประกาศ	ตรวจสอบข้อมูลบริการประเภทผู้ป่วยนอก ที่รับบริการตั้งแต่ 1 มีนาคม 2566 บันทึกรายการ ให้ถูกต้องตามประกาศปี 2566 ตรวจสอบรายการได้จาก https://www.nhso.go.th/downloads/210 แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง ยกเว้น หมวด 7 (TMLT), 8, 11(รหัสหัตถการ)
Corrective	767	บันทึกประเภทการให้บริการ (OPTYPE) ไม่สอดคล้องกับประเภทของ หน่วยบริการ	ตรวจสอบการบันทึกประเภทการให้บริการ (OPTYPE) ต้องสอดคล้องกับประเภทของหน่วย บริการ เช่น - OPTYPE=1 หน่วยบริการที่รักษา/ส่งเบิกต้องเป็นโรงพยาบาล เท่านั้น และต้องเป็นการส่งต่อ ผู้ป่วยไปยังหน่วยบริการรับส่งต่อไม่ตรงตามบัตร เป็นต้น - OPTYPE 0,1 REFER ต้องบันทึกหน่วยบริการที่ส่งต่อ(Hmain_refer_In) - OPTYPE 2,3 AE รพ. ไม่ต้องบันทึกหน่วยบริการที่ส่งต่อ (Hmain_refer_In)
Corrective	768	เบิกบริการฉุกเฉินภาครัฐแต่ไม่มีสิทธิหลักประกันสุขภาพแห่งชาติ (สิทธิ UC)	ตรวจสอบสิทธิผู้ป่วย กรณีบริการฉุกเฉินภาครัฐ เบิกได้เฉพาะสิทธิ UC เท่านั้น
Corrective	769	ไม่ใช่หน่วยที่มีศักยภาพตามที่กำหนดที่สามารถเบิกบริการฉุกเฉิน ภาครัฐได้	ตรวจสอบศักยภาพของหน่วยบริการ หน่วยที่สามารถเบิกบริการฉุกเฉินภาครัฐได้ ประกอบด้วยหน่วยที่ขึ้นทะเบียนเป็นหน่วย UCEP ภาครัฐ, Uhosnet และสถาบันสมทบ เท่านั้น
Corrective	770	เบิกบริการฉุกเฉินภาครัฐ แต่วันที่รับบริการก่อนประกาศ	ตรวจสอบการบันทึกเบิกกรณีบริการก่อน 10 มีนาคม พ.ศ. 2566 ไม่สามารถเบิกกรณี บริการฉุกเฉินภาครัฐได้
Corrective	771	เบิกบริการฉุกเฉินภาครัฐ แต่เลือกประเภทบริการเป็น OP REFER	ตรวจสอบการบันทึกเบิกกรณี OP REFER ไม่สามารถเบิกกรณีบริการฉุกเฉินภาครัฐได้
Corrective	772	เบิกบริการฉุกเฉินภาครัฐ แต่ไม่บันทึกรหัสโครงการพิเศษ UCEP24	ตรวจสอบการบันทึกเบิก หากรายการที่เบิกมีประเภทบริการพิเศษ = UCEPภาครัฐ ต้อง บันทึกรหัสโครงการพิเศษเสมอ แก้ไขให้ถูกต้องและส่งเบิกใหม่อีกครั้ง
Corrective	773	ผู้ป่วยนอกไม่เป็นไปตามเกณฑ์ฉุกเฉินวิกฤติ ไม่สามารถเบิกรายการ FS UCEP รัฐได้	ตรวจสอบการบันทึกเบิก บริการฉุกเฉินภาครัฐ ประเภท OPD ต้องมีการส่งต่อ หรือ เสียชีวิตเท่านั้น หากเข้าไม่เกณฑ์ตามเงื่อนไขที่กำหนดไม่สามารถเบิกได้
Corrective	774	เบิกกรณี T1DM หรือ GDM หรือ PDM รหัส ICD10 ไม่ถูกต้อง ตามเงื่อนไขที่กำหนด	ตรวจสอบการบันทึกรหัส ICD10 กรณีเบิกตามเงื่อนไขเบาหวานชนิดที่ 1 (T1DM) หรือ กรณีหญิงตั้งครรภ์ที่ถูกวินิจฉัยว่าเป็นเบาหวาน (GDM) หรือหญิงที่เป็นเบาหวานก่อน ตั้งครรภ์ (Pregestational DM) แก้ไขให้ถูกต้อง แล้วส่งเข้ามาใหม่อีกครั้ง
Corrective	775	เบิกกรณี T1DM,GDM,PDM ไม่พบรายชื่อผู้ป่วยในฐานทะเบียน	สปสช. ตรวจสอบข้อมูลผู้ป่วย จากสมาคมเบาหวานฯ ดำเนินการลงทะเบียนให้ถูกต้อง ครบถ้วนแล้วส่งข้อมูลเข้ามาใหม่อีกครั้ง
Corrective	776	เบิกกรณี T1DM,GDM,PDM ไม่ใช่หน่วยบริการขึ้นทะเบียน	กรณี T1DM ต้องเป็นหน่วยบริการที่สมาคมเบาหวานฯรับรอง/กรณี GDM,PDM จะต้อง เป็นหน่วยบริการที่มีคุณสมบัติตามที่กำหนด
Corrective	777	เบิกกรณี GDM, PDM ไม่บันทึกข้อมูล LMP	บันทึกข้อมูล LMP ให้ถูกต้อง ครบถ้วน แล้วส่งเข้ามาใหม่อีกครั้ง
Corrective	778	เบิกกรณี GDM, PDM ไม่ใช่เพศหญิง หรือ อายุไม่อยู่ในช่วงอายุ 12-45 ปี	ตรวจสอบการบันทึกข้อมูลเพศ หรือ อายุของผู้ป่วย แก้ไขให้ถูกต้อง แล้วส่งเข้ามาอีกครั้ง กรณีไม่เป็นไปตามเกณฑ์ที่กำหนดส่งหนังสืออุทธรณ์มาที่ สปสช.เพื่อพิจารณาต่อไป
Corrective	779	เบิกกรณี PDM ระบุรหัสเบิกตามอายุครรภ์ไม่สอดคล้องกับ LMP ที่บันทึกในระบบลงทะเบียน	ตรวจสอบวันที่ประจำเดือนมาครั้งสุดท้าย (LMP) ในหน้าลงทะเบียนผู้ป่วย วันที่รับบริการ - วันที่ LMP จะต้องอยู่ในช่วงอายุครรภ์ที่เบิกชดเชย หากไม่สอดคล้องให้แก้ไขและส่ง เบิกใหม่อีกครั้ง
Corrective	780	หน่วยบริการที่รับการส่งต่อเฉพาะด้านเวชกรรม ไม่สามารถส่งเบิก ผ่านระบบ e-Claim ได้	หน่วยบริการนวัตกรรมเวชกรรมส่งเบิกบริการได้ตามที่กำหนด •บริการตรวจ/รักษาโรคทั่วไป ขอให้ส่งเบิกผ่านโปรแกรม A-MED •บริการสร้างเสริมสุขภาพและป้องกันโรค ขอให้ส่งเบิกผ่านโปรแกรม KTP
Corrective	781	เบิกบริการฉุกเฉินภาครัฐ รหัสโรคไม่ใช่กรณีอุบัติเหตุหรือเจ็บป่วย ฉุกเฉินวิกฤติ (สีแดง)	ตรวจสอบหากเป็นเงื่อนไขที่เบิกจากส่วนกลาง ไม่ต้องบันทึกโครงการพิเศษ UCEP24 (UCEP 24 ชั่วโมงแรก) และรหัสรายการ (FS UCEP24 จำนวน 728 รายการ) แล้วส่ง เข้ามาใหม่อีกครั้ง
Corrective	821	ไม่ใช่หน่วยบริการที่มีศักยภาพการให้บริการแพทย์แผนไทย รายการยาสมุนไพร กลุ่มที่มีประสิทธิภาพชัดเจน /ใช้ทดแทนยา แผนปัจจุบัน จำนวน 9 รายการ	กรณีที่หน่วยบริการให้การรักษาจริงให้ส่งเอกสารอุทธรณ์ มาที่ สปสช. เพื่อยืนยัน
